direction,model,train_size,test_size,train_time,accuracy,precision,recall,f1
WESAD->DREAMER,Logistic Regression,300,414,0.0157,0.5531400966183575,0.5021671826625387,0.5006639318995566,0.4188702151067947
WESAD->DREAMER,SVM (RBF),300,414,0.003,0.5579710144927537,0.5067258883248731,0.5012567282384465,0.3988431050489181
WESAD->DREAMER,Random Forest,300,414,0.214,0.5652173913043478,0.5421032793064455,0.5132430702107984,0.4362745098039216
DREAMER->WESAD,Logistic Regression,300,883,0.003,0.5390713476783692,0.5770079602637515,0.5796003587242867,0.5386713700541583
DREAMER->WESAD,SVM (RBF),300,883,0.0026,0.46206115515288787,0.5286468090420882,0.5257132447732751,0.4597301387949635
DREAMER->WESAD,Random Forest,300,883,0.2341,0.535673839184598,0.5335385878489327,0.5366347177848776,0.5245605832974376
WESAD->DREAMER,"QSVM (ZZFeatureMap, circular)",300,414,1.94,0.5434782608695652,0.5333172613307617,0.5327697816138288,0.532656023222061
DREAMER->WESAD,"QSVM (ZZFeatureMap, circular)",300,883,2.85,0.4733861834654587,0.4742094030248928,0.47182332828877305,0.4624404140804097
WESAD->DREAMER,"QSVM (PauliFeatureMap, circular)",300,414,1.77,0.5434782608695652,0.5333172613307617,0.5327697816138288,0.532656023222061
DREAMER->WESAD,"QSVM (PauliFeatureMap, circular)",300,883,2.7,0.4733861834654587,0.4742094030248928,0.47182332828877305,0.4624404140804097
