task,config,ansatz,n_qubits,reps,entanglement,f1_mean,f1_std,acc_mean,train_time_mean
DREAMER_binary_EEG_VQC,EfficientSU2_n4_r1_circular,EfficientSU2,4,1,circular,0.454319030468243,0.13033460167502675,0.5265700483091788,55.81695652173913
DREAMER_binary_EEG_VQC,RealAmplitudes_n6_r1_linear,RealAmplitudes,6,1,linear,0.45398526466060035,0.15613922492624985,0.4975845410628019,28.643043478260868
DREAMER_binary_EEG_VQC,EfficientSU2_n6_r1_linear,EfficientSU2,6,1,linear,0.4522459715639937,0.10160860093427679,0.4855072463768116,61.42652173913043
DREAMER_binary_EEG_VQC,EfficientSU2_n4_r1_linear,EfficientSU2,4,1,linear,0.4379328667455257,0.13213767978704102,0.5314009661835748,22.36391304347826
DREAMER_binary_EEG_VQC,RealAmplitudes_n4_r1_linear,RealAmplitudes,4,1,linear,0.4353610795852321,0.13537003017275928,0.5,20.773478260869567
DREAMER_binary_EEG_VQC,RealAmplitudes_n6_r1_circular,RealAmplitudes,6,1,circular,0.4147605260723949,0.11525447201828107,0.47342995169082125,28.523043478260867
DREAMER_binary_EEG_VQC,EfficientSU2_n6_r1_circular,EfficientSU2,6,1,circular,0.408209337504213,0.13918017315257106,0.45893719806763283,35.280869565217394
DREAMER_binary_EEG_VQC,RealAmplitudes_n4_r1_circular,RealAmplitudes,4,1,circular,0.40789881722692495,0.13232996503221392,0.49275362318840576,20.561739130434784
WESAD_3class_VQC,RealAmplitudes_n3_r1_circular,RealAmplitudes,3,1,circular,0.30790365659011937,0.03714017804470745,0.43526894400578997,25.29733333333333
WESAD_3class_VQC,RealAmplitudes_n3_r1_linear,RealAmplitudes,3,1,linear,0.307103243560276,0.044937445004796066,0.4355995747515366,27.291333333333334
WESAD_3class_VQC,EfficientSU2_n4_r1_circular,EfficientSU2,4,1,circular,0.3049859646389213,0.052064038454798005,0.42989514003345014,32.49466666666667
WESAD_3class_VQC,EfficientSU2_n3_r1_linear,EfficientSU2,3,1,linear,0.3030444515311706,0.03155208791961834,0.43188105447957803,27.373333333333335
WESAD_3class_VQC,RealAmplitudes_n4_r1_circular,RealAmplitudes,4,1,circular,0.3026306817671284,0.029378234005602057,0.43069503484013366,31.229333333333333
WESAD_3class_VQC,RealAmplitudes_n4_r1_linear,RealAmplitudes,4,1,linear,0.2927631118261271,0.03160219837648631,0.41748526668743313,29.483999999999998
WESAD_3class_VQC,EfficientSU2_n3_r1_circular,EfficientSU2,3,1,circular,0.2922615426498766,0.029124733727110066,0.41456113031716785,27.639333333333337
WESAD_3class_VQC,EfficientSU2_n4_r1_linear,EfficientSU2,4,1,linear,0.28866726661861286,0.058772949536459416,0.40953424314625764,32.233333333333334
WESAD_binary_VQC,EfficientSU2_n4_r1_linear,EfficientSU2,4,1,linear,0.5356706312127547,0.0752234793271003,0.5515915849144503,93.98533333333333
WESAD_binary_VQC,EfficientSU2_n4_r1_circular,EfficientSU2,4,1,circular,0.5241059234166681,0.06332147174782583,0.540503576675222,58.501333333333335
WESAD_binary_VQC,RealAmplitudes_n4_r1_circular,RealAmplitudes,4,1,circular,0.5082329340967026,0.07832202101463644,0.5192987265953541,67.41533333333334
WESAD_binary_VQC,RealAmplitudes_n3_r1_linear,RealAmplitudes,3,1,linear,0.5071181419457454,0.04548250362141297,0.5213465607518427,126.796
WESAD_binary_VQC,RealAmplitudes_n4_r1_linear,RealAmplitudes,4,1,linear,0.5063452126415081,0.08118504922107857,0.5190883373300248,89.78933333333333
WESAD_binary_VQC,EfficientSU2_n3_r1_linear,EfficientSU2,3,1,linear,0.5058948970307302,0.050093597404401655,0.5185656922548648,67.326
WESAD_binary_VQC,EfficientSU2_n3_r1_circular,EfficientSU2,3,1,circular,0.4822860685719823,0.048898683304999524,0.495024347748229,80.42800000000001
WESAD_binary_VQC,RealAmplitudes_n3_r1_circular,RealAmplitudes,3,1,circular,0.47291873021272834,0.07715886279774643,0.4876524732593317,118.12266666666666
